Data;SE;Dif
1979.01;5623;
1979.02;5551;-72
1979.03;5725;174
1979.04;5797;72
1979.05;6002;205
1979.06;5988;-14
1979.07;6054;66
1979.08;6022;-32
1979.09;6353;331
1979.10;6144;-209
1979.11;6393;249
1979.12;6337;-56
1980.01;6276;-61
1980.02;6239;-37
1980.03;6266;27
1980.04;6393;127
1980.05;6458;65
1980.06;6559;101
1980.07;6467;-92
1980.08;6879;412
1980.09;6817;-62
1980.10;6800;-17
1980.11;7145;345
1980.12;6636;-509
1981.01;7150;514
1981.02;6563;-587
1981.03;6878;315
1981.04;6527;-351
1981.05;6751;224
1981.06;6464;-287
1981.07;6584;120
1981.08;6813;229
1981.09;6561;-252
1981.10;6599;38
1981.11;6754;155
1981.12;6452;-302
1982.01;6702;250
1982.02;6354;-348
1982.03;6570;216
1982.04;7255;685
1982.05;6829;-426
1982.06;6998;169
1982.07;7080;82
1982.08;7275;195
1982.09;7381;106
1982.10;7189;-192
1982.11;7285;96
1982.12;7046;-239
1983.01;7151;105
1983.02;6860;-291
1983.03;6902;42
1983.04;7659;757
1983.05;7157;-502
1983.06;7804;647
1983.07;7373;-431
1983.08;7400;27
1983.09;7937;537
1983.10;7694;-243
1983.11;7620;-74
1983.12;7547;-73
1984.01;7704;157
1984.02;8008;304
1984.03;8198;190
1984.04;7815;-383
1984.05;8125;310
1984.06;8342;217
1984.07;8231;-111
1984.08;8550;319
1984.09;8790;240
1984.10;8307;-483
1984.11;9096;789
1984.12;8463;-633
1985.01;8598;135
1985.02;8665;67
1985.03;8690;25
1985.04;9170;480
1985.05;8807;-363
1985.06;9039;232
1985.07;8510;-529
1985.08;9359;849
1985.09;9368;9
1985.10;9098;-270
1985.11;9472;374
1985.12;9080;-392
1986.01;9130;50
1986.02;9104;-26
1986.03;8522;-582
1986.04;9014;492
1986.05;9674;660
1986.06;9406;-268
1986.07;9324;-82
1986.08;9912;588
1986.09;9658;-254
1986.10;9716;58
1986.11;10145;429
1986.12;9251;-894
1987.01;9992;741
1987.02;9074;-918
1987.03;9502;428
1987.04;9227;-275
1987.05;9734;507
1987.06;9219;-515
1987.07;9469;250
1987.08;10006;537
1987.09;9753;-253
1987.10;9785;32
1987.11;10067;282
1987.12;9589;-478
1988.01;10152;563
1988.02;9761;-391
1988.03;9704;-57
1988.04;10320;616
1988.05;9462;-858
1988.06;9791;329
1988.07;9989;198
1988.08;9882;-107
1988.09;10627;745
1988.10;10388;-239
1988.11;9963;-425
1988.12;9994;31
1989.01;9959;-35
1989.02;10238;279
1989.03;9383;-855
1989.04;10604;1221
1989.05;9860;-744
1989.06;10300;440
1989.07;10533;233
1989.08;10365;-168
1989.09;11250;885
1989.10;10540;-710
1989.11;10826;286
1989.12;10268;-558
1990.01;10458;190
1990.02;10754;296
1990.03;10165;-589
1990.04;10492;327
1990.05;9267;-1225
1990.06;10046;779
1990.07;9719;-327
1990.08;10303;584
1990.09;11063;760
1990.10;10377;-686
1990.11;11052;675
1990.12;10204;-848
1991.01;9981;-223
1991.02;10236;255
1991.03;9515;-721
1991.04;10133;618
1991.05;10555;422
1991.06;10763;208
1991.07;10246;-517
1991.08;11126;880
1991.09;11206;80
1991.10;10855;-351
1991.11;11231;376
1991.12;10628;-603
1992.01;10590;-38
1992.02;10610;20
1992.03;10543;-67
1992.04;10259;-284
1992.05;10771;512
1992.06;10425;-346
1992.07;10592;167
1992.08;11027;435
1992.09;10782;-245
1992.10;10744;-38
1992.11;11085;341
1992.12;10403;-682
1993.01;10803;400
1993.02;10371;-432
1993.03;10427;56
1993.04;11516;1089
1993.05;10881;-635
1993.06;10949;68
1993.07;10874;-75
1993.08;11267;393
1993.09;11443;176
1993.10;11170;-273
1993.11;11367;197
1993.12;10898;-469
1994.01;10895;-3
1994.02;10773;-122
1994.03;10595;-178
1994.04;11432;837
1994.05;10712;-720
1994.06;11242;530
1994.07;10737;-505
1994.08;11028;291
1994.09;11842;814
1994.10;11695;-147
1994.11;11626;-69
1994.12;11552;-74
1995.01;11876;324
1995.02;11914;38
1995.03;11659;-255
1995.04;12243;584
1995.05;11660;-583
1995.06;11737;77
1995.07;11792;55
1995.08;11777;-15
1995.09;12575;798
1995.10;11981;-594
1995.11;12525;544
1995.12;11987;-538
1996.01;11898;-89
1996.02;12372;474
1996.03;12184;-188
1996.04;12618;434
1996.05;12461;-157
1996.06;12617;156
1996.07;12059;-558
1996.08;13114;1055
1996.09;12989;-125
1996.10;12927;-62
1996.11;13050;123
1996.12;12798;-252
1997.01;13149;351
1997.02;13216;67
1997.03;12768;-448
1997.04;13040;272
1997.05;13395;355
1997.06;13096;-299
1997.07;13093;-3
1997.08;13654;561
1997.09;13656;2
1997.10;13869;213
1997.11;14231;362
1997.12;13513;-718
1998.01;14099;586
1998.02;13559;-540
1998.03;13347;-212
1998.04;14114;767
1998.05;13849;-265
1998.06;13229;-620
1998.07;13446;217
1998.08;14101;655
1998.09;14224;123
1998.10;14133;-91
1998.11;13961;-172
1998.12;13509;-452
1999.01;13689;180
1999.02;13409;-280
1999.03;13636;227
1999.04;14678;1042
1999.05;13711;-967
1999.06;13902;191
1999.07;13787;-115
1999.08;14129;342
1999.09;14362;233
1999.10;14218;-144
1999.11;14398;180
1999.12;14117;-281
2000.01;14299;182
2000.02;14282;-17
2000.03;14705;423
2000.04;14694;-11
2000.05;14513;-181
2000.06;14521;8
2000.07;14421;-100
2000.08;14465;44
2000.09;14669;204
2000.10;14947;278
2000.11;15347;400
2000.12;14653;-694
2001.01;14729;76
2001.02;15373;644
2001.03;15005;-368
2001.04;15628;623
2001.05;15007;-621
2001.06;13361;-1646
2001.07;10983;-2378
2001.08;11216;233
2001.09;11721;505
2001.10;11680;-41
2001.11;11943;263
2001.12;11840;-103
2002.01;12158;318
2002.02;12416;258
2002.03;12803;387
2002.04;13661;858
2002.05;13701;40
2002.06;13363;-338
2002.07;12836;-527
2002.08;13326;490
2002.09;13366;40
2002.10;13574;208
2002.11;13994;420
2002.12;13638;-356
2003.01;13540;-98
2003.02;13461;-79
2003.03;13659;198
2003.04;13279;-380
2003.05;13387;108
2003.06;13100;-287
2003.07;12993;-107
2003.08;13259;266
2003.09;13115;-144
2003.10;13829;714
2003.11;13862;33
2003.12;14042;180
2004.01;13505;-537
