time;target
jan/79;228
fev/79;231
mar/79;228
abr/79;243
mai/79;241
jun/79;242
jul/79;250
ago/79;247
set/79;254
out/79;268
nov/79;263
dez/79;277
jan/80;271
fev/80;267
mar/80;268
abr/80;285
mai/80;264
jun/80;290
jul/80;279
ago/80;286
set/80;307
out/80;294
nov/80;306
dez/80;296
jan/81;301
fev/81;302
mar/81;300
abr/81;310
mai/81;309
jun/81;306
jul/81;299
ago/81;304
set/81;322
out/81;316
nov/81;313
dez/81;310
jan/82;325
fev/82;309
mar/82;319
abr/82;336
mai/82;340
jun/82;345
jul/82;357
ago/82;355
set/82;368
out/82;377
nov/82;375
dez/82;377
jan/83;366
fev/83;365
mar/83;373
abr/83;376
mai/83;397
jun/83;415
jul/83;404
ago/83;414
set/83;419
out/83;419
nov/83;409
dez/83;411
jan/84;422
fev/84;440
mar/84;436
abr/84;441
mai/84;458
jun/84;454
jul/84;458
ago/84;478
set/84;471
out/84;467
nov/84;496
dez/84;473
jan/85;478
fev/85;471
mar/85;476
abr/85;494
mai/85;506
jun/85;499
jul/85;488
ago/85;517
set/85;461
out/85;598
nov/85;547
dez/85;524
jan/86;557
fev/86;512
mar/86;533
abr/86;551
mai/86;567
jun/86;560
jul/86;536
ago/86;570
set/86;584
out/86;549
nov/86;598
dez/86;552
jan/87;580
fev/87;549
mar/87;562
abr/87;579
mai/87;592
jun/87;582
jul/87;585
ago/87;611
set/87;624
out/87;616
nov/87;635
dez/87;604
jan/88;625
fev/88;647
mar/88;637
abr/88;648
mai/88;631
jun/88;633
jul/88;645
ago/88;638
set/88;661
out/88;654
nov/88;636
dez/88;614
jan/89;632
fev/89;604
mar/89;632
abr/89;631
mai/89;679
jun/89;674
jul/89;671
ago/89;689
set/89;698
out/89;702
nov/89;714
dez/89;667
jan/90;693
fev/90;671
mar/90;691
abr/90;686
mai/90;688
jun/90;695
jul/90;703
ago/90;707
set/90;731
out/90;728
nov/90;758
dez/90;706
jan/91;730
fev/91;687
mar/91;671
abr/91;734
mai/91;763
jun/91;770
jul/91;765
ago/91;754
set/91;785
out/91;781
nov/91;786
dez/91;756
jan/92;744
fev/92;734
mar/92;749
abr/92;757
mai/92;758
jun/92;762
jul/92;756
ago/92;768
set/92;773
out/92;740
nov/92;750
dez/92;770
jan/93;770
fev/93;752
mar/93;784
abr/93;835
mai/93;834
jun/93;816
jul/93;811
ago/93;826
set/93;857
out/93;850
nov/93;864
dez/93;832
jan/94;819
fev/94;808
mar/94;848
abr/94;882
mai/94;862
jun/94;900
jul/94;863
ago/94;892
set/94;920
out/94;966
nov/94;966
dez/94;914
jan/95;913
fev/95;917
mar/95;954
abr/95;1003
mai/95;975
jun/95;986
jul/95;977
ago/95;1015
set/95;1065
out/95;1046
nov/95;1050
dez/95;1017
jan/96;1020
fev/96;1013
mar/96;1030
abr/96;1086
mai/96;1077
jun/96;1063
jul/96;1047
ago/96;1066
set/96;1125
out/96;1126
nov/96;1111
dez/96;1062
jan/97;1092
fev/97;1044
mar/97;1051
abr/97;1111
mai/97;1121
jun/97;1109
jul/97;1132
ago/97;1170
set/97;1202
out/97;1216
nov/97;1228
dez/97;1135
jan/98;1157
fev/98;1141
mar/98;1125
abr/98;1238
mai/98;1235
jun/98;1194
jul/98;1219
ago/98;1288
set/98;1308
out/98;1279
nov/98;1252
dez/98;1245
jan/99;1239
fev/99;1200
mar/99;1237
abr/99;1338
mai/99;1282
jun/99;1290
jul/99;1305
ago/99;1338
set/99;1392
out/99;1356
nov/99;1330
dez/99;1318
jan/00;1294
fev/00;1275
mar/00;1318
abr/00;1363
mai/00;1370
jun/00;1404
jul/00;1383
ago/00;1406
set/00;1471
out/00;1446
nov/00;1473
dez/00;1355
jan/01;1379
fev/01;1373
mar/01;1439
abr/01;1471
mai/01;1472
jun/01;1260
jul/01;1094
ago/01;1152
set/01;1172
out/01;1164
nov/01;1169
dez/01;1124
jan/02;1135
fev/02;1146
mar/02;1254
abr/02;1347
mai/02;1426
jun/02;1362
jul/02;1360
ago/02;1419
set/02;1448
out/02;1461
nov/02;1488
dez/02;1433
jan/03;1414
fev/03;1434
mar/03;1507
abr/03;1511
mai/03;1557
jun/03;1535
jul/03;1548
ago/03;1596
set/03;1590
out/03;1633
nov/03;1583
dez/03;1523
jan/04;1518
fev/04;1453
mar/04;1540
abr/04;1601
mai/04;1566
jun/04;1577
jul/04;1612
ago/04;1645
set/04;1726
out/04;1744
nov/04;1606
dez/04;1635
jan/05;1568
fev/05;1547
mar/05;1624
abr/05;1703
mai/05;1645
jun/05;1640
jul/05;1700
ago/05;1720
set/05;1776
out/05;1758
nov/05;1746
dez/05;1660
jan/06;1618
fev/06;1671
mar/06;1798
abr/06;1733
mai/06;1686
jun/06;1688
jul/06;1723
ago/06;1785
set/06;1804
out/06;1796
nov/06;1760
dez/06;1742
jan/07;1728
fev/07;1723
mar/07;1798
abr/07;1927
mai/07;1848
jun/07;1788
jul/07;1822
ago/07;1861
set/07;1880
out/07;1958
nov/07;1878
dez/07;1813
jan/08;1803
fev/08;1821
mar/08;1825
abr/08;1897
mai/08;1961
jun/08;1972
jul/08;1946
ago/08;2001
set/08;2108
out/08;2124
nov/08;2138
dez/08;1965
jan/09;1917
fev/09;1902
mar/09;2030
abr/09;2117
mai/09;2066
jun/09;2007
jul/09;2072
ago/09;2135
set/09;2166
out/09;2168
nov/09;2119
dez/09;2069
jan/10;2072
fev/10;2071
mar/10;2169
abr/10;2188
mai/10;2191
jun/10;2200
jul/10;2166
ago/10;2240
set/10;2314
out/10;2294
nov/10;2211
dez/10;2195
jan/11;2137
fev/11;2156
mar/11;2261
abr/11;2311
mai/11;2347
jun/11;2278
jul/11;2316
ago/11;2409
set/11;2565
out/11;2548
nov/11;2437
dez/11;2440
jan/12;2370
fev/12;2416
mar/12;2519
abr/12;2532
mai/12;2557
jun/12;2488
jul/12;2457
ago/12;2581
set/12;2673
out/12;2773
nov/12;2709
dez/12;2645
jan/13;2608
fev/13;2559
mar/13;2617
abr/13;2670
mai/13;2705
jun/13;2643
jul/13;2725
ago/13;2838
set/13;2817
out/13;2855
nov/13;2903
dez/13;2816
jan/14;2756
fev/14;2775
mar/14;2736
abr/14;2849
mai/14;2847
jun/14;2785
jul/14;2739
ago/14;2990
set/14;3030
out/14;3111
nov/14;3031
dez/14;2798
jan/15;2801
fev/15;2803
mar/15;2762
abr/15;2869
mai/15;2827
jun/15;2792
jul/15;2764
ago/15;2878
set/15;3055
out/15;3192
nov/15;3115
dez/15;2926
jan/16;2812
fev/16;2805
mar/16;2901
abr/16;3067
mai/16;2880
jun/16;2818
jul/16;2813
ago/16;2896
set/16;2950
out/16;2948
nov/16;2905
dez/16;2781
jan/17;2865
fev/17;2780
mar/17;2901
abr/17;2972
mai/17;2928
jun/17;2935
jul/17;2817
ago/17;2893
set/17;3128
out/17;3060
nov/17;3071
dez/17;2867
jan/18;2862
fev/18;2901
mar/18;2956
abr/18;3028
mai/18;2954
jun/18;2897
jul/18;2936
ago/18;3035
set/18;3092
out/18;3247
nov/18;3113
dez/18;3019
jan/19;3128
fev/19;3191
mar/19;3031
abr/19;3056
mai/19;3142
jun/19;3043
jul/19;3039
ago/19;3135
set/19;3342
