time;target
jan/79;116
fev/79;123
mar/79;128
abr/79;122
mai/79;126
jun/79;129
jul/79;131
ago/79;134
set/79;138
out/79;142
nov/79;142
dez/79;146
jan/80;144
fev/80;142
mar/80;135
abr/80;142
mai/80;138
jun/80;148
jul/80;145
ago/80;154
set/80;154
out/80;157
nov/80;157
dez/80;162
jan/81;154
fev/81;150
mar/81;153
abr/81;147
mai/81;162
jun/81;161
jul/81;157
ago/81;158
set/81;170
out/81;171
nov/81;173
dez/81;175
jan/82;174
fev/82;155
mar/82;158
abr/82;176
mai/82;167
jun/82;179
jul/82;205
ago/82;201
set/82;218
out/82;220
nov/82;216
dez/82;215
jan/83;222
fev/83;218
mar/83;210
abr/83;234
mai/83;224
jun/83;234
jul/83;224
ago/83;224
set/83;230
out/83;227
nov/83;229
dez/83;223
jan/84;218
fev/84;213
mar/84;217
abr/84;218
mai/84;217
jun/84;226
jul/84;225
ago/84;236
set/84;249
out/84;235
nov/84;258
dez/84;244
jan/85;240
fev/85;236
mar/85;228
abr/85;237
mai/85;243
jun/85;250
jul/85;249
ago/85;273
set/85;289
out/85;306
nov/85;344
dez/85;333
jan/86;351
fev/86;351
mar/86;352
abr/86;381
mai/86;415
jun/86;417
jul/86;434
ago/86;467
set/86;488
out/86;518
nov/86;530
dez/86;537
jan/87;559
fev/87;518
mar/87;529
abr/87;535
mai/87;541
jun/87;542
jul/87;539
ago/87;561
set/87;572
out/87;573
nov/87;579
dez/87;559
jan/88;574
fev/88;538
mar/88;558
abr/88;565
mai/88;575
jun/88;579
jul/88;582
ago/88;603
set/88;616
out/88;616
nov/88;601
dez/88;607
jan/89;603
fev/89;577
mar/89;593
abr/89;599
mai/89;607
jun/89;615
jul/89;647
ago/89;654
set/89;675
out/89;676
nov/89;677
dez/89;676
jan/90;681
fev/90;634
mar/90;670
abr/90;662
mai/90;684
jun/90;693
jul/90;727
ago/90;759
set/90;773
out/90;803
nov/90;841
dez/90;878
jan/91;895
fev/91;834
mar/91;745
abr/91;753
mai/91;834
jun/91;886
jul/91;905
ago/91;919
set/91;902
out/91;932
nov/91;932
dez/91;931
jan/92;912
fev/92;880
mar/92;888
abr/92;880
mai/92;906
jun/92;893
jul/92;915
ago/92;921
set/92;908
out/92;923
nov/92;922
dez/92;922
jan/93;920
fev/93;857
mar/93;898
abr/93;906
mai/93;931
jun/93;929
jul/93;949
ago/93;957
set/93;937
out/93;964
nov/93;953
dez/93;952
jan/94;955
fev/94;890
mar/94;926
abr/94;921
mai/94;953
jun/94;936
jul/94;950
ago/94;964
set/94;980
out/94;1016
nov/94;1006
dez/94;1009
jan/95;1015
fev/95;964
mar/95;1007
abr/95;1023
mai/95;1035
jun/95;1042
jul/95;1054
ago/95;1080
set/95;1097
out/95;1078
nov/95;1081
dez/95;1099
jan/96;1104
fev/96;1064
mar/96;1098
abr/96;1086
mai/96;1082
jun/96;1100
jul/96;1115
ago/96;1148
set/96;1152
out/96;1156
nov/96;1158
dez/96;1166
jan/97;1166
fev/97;1069
mar/97;1117
abr/97;1100
mai/97;1168
jun/97;1147
jul/97;1165
ago/97;1185
set/97;1192
out/97;1217
nov/97;1185
dez/97;1173
jan/98;1179
fev/98;1103
mar/98;1163
abr/98;1194
mai/98;1211
jun/98;1221
jul/98;1193
ago/98;1215
set/98;1242
out/98;1250
nov/98;1234
dez/98;1240
jan/99;1232
fev/99;1111
mar/99;1187
abr/99;1212
mai/99;1201
jun/99;1214
jul/99;1244
ago/99;1282
set/99;1272
out/99;1296
nov/99;1304
dez/99;1320
jan/00;1307
fev/00;1248
mar/00;1275
abr/00;1287
mai/00;1309
jun/00;1336
jul/00;1339
ago/00;1346
set/00;1374
out/00;1395
nov/00;1384
dez/00;1397
jan/01;1351
fev/01;1272
mar/01;1316
abr/01;1329
mai/01;1374
jun/01;1335
jul/01;1218
ago/01;1210
set/01;1196
out/01;1213
nov/01;1217
dez/01;1204
jan/02;1326
fev/02;1294
mar/02;1347
abr/02;1381
mai/02;1434
jun/02;1418
jul/02;1436
ago/02;1483
set/02;1462
out/02;1490
nov/02;1475
dez/02;1470
jan/03;1484
fev/03;1418
mar/03;1456
abr/03;1465
mai/03;1535
jun/03;1542
jul/03;1558
ago/03;1540
set/03;1602
out/03;1500
nov/03;1622
dez/03;1622
jan/04;1588
fev/04;1535
mar/04;1598
abr/04;1602
mai/04;1651
jun/04;1641
jul/04;1664
ago/04;1690
set/04;1714
out/04;1725
nov/04;1720
dez/04;1741
jan/05;1705
fev/05;1634
mar/05;1687
abr/05;1670
mai/05;1688
jun/05;1691
jul/05;1717
ago/05;1723
set/05;1750
out/05;1796
nov/05;1787
dez/05;1776
jan/06;1741
fev/06;1646
mar/06;1817
abr/06;1734
mai/06;1754
jun/06;1762
jul/06;1799
ago/06;1852
set/06;1886
out/06;1901
nov/06;1872
dez/06;1864
jan/07;1835
fev/07;1754
mar/07;1816
abr/07;1826
mai/07;1876
jun/07;1879
jul/07;1891
ago/07;1930
set/07;1964
out/07;2007
nov/07;1996
dez/07;1991
jan/08;1891
fev/08;1811
mar/08;1894
abr/08;1882
mai/08;1926
jun/08;2025
jul/08;1999
ago/08;2058
set/08;2104
out/08;2152
nov/08;2082
dez/08;2032
jan/09;1973
fev/09;1796
mar/09;1882
abr/09;1919
mai/09;1924
jun/09;1993
jul/09;2025
ago/09;2076
set/09;2089
out/09;2118
nov/09;2121
dez/09;2112
jan/10;2067
fev/10;1978
mar/10;2109
abr/10;2147
mai/10;2177
jun/10;2199
jul/10;2197
ago/10;2230
set/10;2281
out/10;2327
nov/10;2263
dez/10;2262
jan/11;2217
fev/11;2065
mar/11;2237
abr/11;2220
mai/11;2264
jun/11;2325
jul/11;2353
ago/11;2408
set/11;2421
out/11;2478
nov/11;2371
dez/11;2418
jan/12;2369
fev/12;2322
mar/12;2440
abr/12;2362
mai/12;2430
jun/12;2382
jul/12;2398
ago/12;2491
set/12;2456
out/12;2506
nov/12;2484
dez/12;2410
jan/13;2393
fev/13;2266
mar/13;2378
abr/13;2461
mai/13;2454
jun/13;2450
jul/13;2563
ago/13;2560
set/13;2571
out/13;2721
nov/13;2642
dez/13;2739
jan/14;2601
fev/14;2478
mar/14;2615
abr/14;2603
mai/14;2708
jun/14;2645
jul/14;2732
ago/14;2749
set/14;2838
out/14;2823
nov/14;2765
dez/14;2816
jan/15;2693
fev/15;2543
mar/15;2683
abr/15;2614
mai/15;2687
jun/15;2667
jul/15;2816
ago/15;2866
set/15;2939
out/15;3033
nov/15;2945
dez/15;2951
jan/16;2707
fev/16;2670
mar/16;2837
abr/16;2698
mai/16;2844
jun/16;2809
jul/16;2891
ago/16;2923
set/16;2909
out/16;2934
nov/16;2940
dez/16;2882
jan/17;2752
fev/17;2552
mar/17;2793
abr/17;2720
mai/17;2933
jun/17;2891
jul/17;2881
ago/17;3040
set/17;2991
out/17;3047
nov/17;2965
dez/17;2923
jan/18;2817
fev/18;2658
mar/18;2881
abr/18;2693
mai/18;2670
jun/18;2590
jul/18;2662
ago/18;2694
set/18;2694
out/18;2838
nov/18;2724
dez/18;2601
jan/19;2566
fev/19;2410
mar/19;2599
abr/19;2568
mai/19;2689
jun/19;2720
jul/19;2821
ago/19;2881
set/19;2938
