time;target
jan/79;1031
fev/79;1029
mar/79;1036
abr/79;992
mai/79;1028
jun/79;1012
jul/79;1039
ago/79;1055
set/79;1074
out/79;1094
nov/79;1130
dez/79;1171
jan/80;1198
fev/80;1145
mar/80;1168
abr/80;1105
mai/80;1171
jun/80;1158
jul/80;1194
ago/80;1212
set/80;1194
out/80;1212
nov/80;1210
dez/80;1251
jan/81;1276
fev/81;1241
mar/81;1225
abr/81;1236
mai/81;1256
jun/81;1232
jul/81;1242
ago/81;1253
set/81;1236
out/81;1299
nov/81;1320
dez/81;1346
jan/82;1397
fev/82;1304
mar/82;1342
abr/82;1344
mai/82;1310
jun/82;1324
jul/82;1319
ago/82;1342
set/82;1375
out/82;1417
nov/82;1413
dez/82;1455
jan/83;1468
fev/83;1379
mar/83;1435
abr/83;1515
mai/83;1501
jun/83;1500
jul/83;1542
ago/83;1551
set/83;1573
out/83;1611
nov/83;1622
dez/83;1652
jan/84;1649
fev/84;1666
mar/84;1698
abr/84;1586
mai/84;1611
jun/84;1664
jul/84;1678
ago/84;1790
set/84;1854
out/84;1906
nov/84;1942
dez/84;2026
jan/85;2026
fev/85;1924
mar/85;1928
abr/85;1957
mai/85;1943
jun/85;1969
jul/85;1960
ago/85;1983
set/85;1988
out/85;2185
nov/85;2046
dez/85;2141
jan/86;2149
fev/86;2021
mar/86;2058
abr/86;2207
mai/86;2272
jun/86;2275
jul/86;2313
ago/86;2387
set/86;2380
out/86;2434
nov/86;2390
dez/86;2417
jan/87;2528
fev/87;2304
mar/87;2219
abr/87;2028
mai/87;2078
jun/87;2012
jul/87;2048
ago/87;2090
set/87;2150
out/87;2249
nov/87;2254
dez/87;2260
jan/88;2309
fev/88;2252
mar/88;2347
abr/88;2310
mai/88;2308
jun/88;2336
jul/88;2321
ago/88;2293
set/88;2373
out/88;2523
nov/88;2349
dez/88;2447
jan/89;2453
fev/89;2388
mar/89;2441
abr/89;2404
mai/89;2448
jun/89;2499
jul/89;2518
ago/89;2512
set/89;2547
out/89;2593
nov/89;2690
dez/89;2615
jan/90;2639
fev/90;2519
mar/90;2598
abr/90;2507
mai/90;2489
jun/90;2488
jul/90;2544
ago/90;2615
set/90;2662
out/90;2706
nov/90;2820
dez/90;2783
jan/91;2808
fev/91;2673
mar/91;2670
abr/91;2692
mai/91;2775
jun/91;2790
jul/91;2859
ago/91;2861
set/91;2797
out/91;2922
nov/91;2925
dez/91;2853
jan/92;2931
fev/92;2800
mar/92;2832
abr/92;2825
mai/92;2871
jun/92;2822
jul/92;2854
ago/92;2836
set/92;2865
out/92;2904
nov/92;2874
dez/92;2884
jan/93;2911
fev/93;2718
mar/93;2910
abr/93;2926
mai/93;2924
jun/93;2895
jul/93;2920
ago/93;2912
set/93;2940
out/93;2955
nov/93;2958
dez/93;2977
jan/94;3022
fev/94;2818
mar/94;2929
abr/94;2893
mai/94;2860
jun/94;2877
jul/94;2829
ago/94;2908
set/94;2973
out/94;2982
nov/94;3031
dez/94;3086
jan/95;3256
fev/95;2961
mar/95;3244
abr/95;3115
mai/95;3090
jun/95;3059
jul/95;3186
ago/95;3182
set/95;3221
out/95;3273
nov/95;3364
dez/95;3311
jan/96;3400
fev/96;3350
mar/96;3420
abr/96;3391
mai/96;3372
jun/96;3363
jul/96;3358
ago/96;3400
set/96;3421
out/96;3503
nov/96;3455
dez/96;3492
jan/97;3644
fev/97;3449
mar/97;3427
abr/97;3470
mai/97;3529
jun/97;3491
jul/97;3533
ago/97;3581
set/97;3565
out/97;3770
nov/97;3804
dez/97;3762
jan/98;3864
fev/98;3666
mar/98;3788
abr/98;3885
mai/98;3904
jun/98;3733
jul/98;3803
ago/98;3806
set/98;3833
out/98;3937
nov/98;3982
dez/98;3915
jan/99;3968
fev/99;3770
mar/99;3814
abr/99;3978
mai/99;3885
jun/99;3865
jul/99;3922
ago/99;3918
set/99;3956
out/99;4052
nov/99;4097
dez/99;4109
jan/00;4072
fev/00;4023
mar/00;4112
abr/00;4059
mai/00;4109
jun/00;4099
jul/00;4056
ago/00;4122
set/00;4187
out/00;4437
nov/00;4208
dez/00;4249
jan/01;4287
fev/01;4135
mar/01;4294
abr/01;4263
mai/01;4341
jun/01;3762
jul/01;3233
ago/01;3254
set/01;3268
out/01;3368
nov/01;3420
dez/01;3432
jan/02;3671
fev/02;3556
mar/02;3583
abr/02;3899
mai/02;3957
jun/02;3897
jul/02;3964
ago/02;4039
set/02;4052
out/02;4225
nov/02;4272
dez/02;4220
jan/03;4315
fev/03;4047
mar/03;4117
abr/03;4129
mai/03;4094
jun/03;4126
jul/03;4088
ago/03;4009
set/03;4058
out/03;4398
nov/03;4359
dez/03;4452
jan/04;4359
fev/04;4014
mar/04;4219
abr/04;4328
mai/04;4420
jun/04;4406
jul/04;4368
ago/04;4428
set/04;4549
out/04;4655
nov/04;4696
dez/04;4763
jan/05;4772
fev/05;4524
mar/05;4690
abr/05;4673
mai/05;4736
jun/05;4571
jul/05;4640
ago/05;4739
set/05;4764
out/05;4849
nov/05;4920
dez/05;5006
jan/06;4919
fev/06;4704
mar/06;5060
abr/06;4857
mai/06;4795
jun/06;4772
jul/06;4749
ago/06;4940
set/06;4953
out/06;5142
nov/06;5135
dez/06;5124
jan/07;5267
fev/07;4974
mar/07;5018
abr/07;5169
mai/07;5172
jun/07;5082
jul/07;5139
ago/07;5211
set/07;5147
out/07;5441
nov/07;5503
dez/07;5546
jan/08;5474
fev/08;5252
mar/08;5338
abr/08;5248
mai/08;5408
jun/08;5241
jul/08;5335
ago/08;5378
set/08;5463
out/08;5685
nov/08;5585
dez/08;5536
jan/09;5341
fev/09;5102
mar/09;5391
abr/09;5307
mai/09;5189
jun/09;5123
jul/09;5258
ago/09;5502
set/09;5581
out/09;5779
nov/09;5758
dez/09;5963
jan/10;5740
fev/10;5589
mar/10;6119
abr/10;5884
mai/10;5960
jun/10;5906
jul/10;5844
ago/10;5833
set/10;5896
out/10;6123
nov/10;6136
dez/10;6166
jan/11;5989
fev/11;5503
mar/11;6027
abr/11;5967
mai/11;5899
jun/11;5809
jul/11;5937
ago/11;6093
set/11;6093
out/11;6216
nov/11;6138
dez/11;6244
jan/12;6298
fev/12;6010
mar/12;6408
abr/12;6272
mai/12;6436
jun/12;6135
