time;target
jan/79;949
fev/79;925
mar/79;991
abr/79;984
mai/79;958
jun/79;1008
jul/79;981
ago/79;1038
set/79;986
out/79;1034
nov/79;1035
dez/79;1028
jan/80;1114
fev/80;1098
mar/80;1119
abr/80;1141
mai/80;1220
jun/80;1143
jul/80;1149
ago/80;1148
set/80;1142
out/80;1145
nov/80;1136
dez/80;1156
jan/81;1221
fev/81;1212
mar/81;1248
abr/81;1185
mai/81;1178
jun/81;1197
jul/81;1188
ago/81;1224
set/81;1197
out/81;1204
nov/81;1221
dez/81;1246
jan/82;1287
fev/82;1271
mar/82;1323
abr/82;1336
mai/82;1353
jun/82;1347
jul/82;1364
ago/82;1368
set/82;1356
out/82;1312
nov/82;1355
dez/82;1360
jan/83;1423
fev/83;1431
mar/83;1440
abr/83;1482
mai/83;1509
jun/83;1458
jul/83;1402
ago/83;1488
set/83;1449
out/83;1451
nov/83;1486
dez/83;1499
jan/84;1649
fev/84;1641
mar/84;1658
abr/84;1566
mai/84;1620
jun/84;1591
jul/84;1618
ago/84;1644
set/84;1589
out/84;1605
nov/84;1628
dez/84;1639
jan/85;1862
fev/85;1818
mar/85;1757
abr/85;1793
mai/85;1725
jun/85;1771
jul/85;1758
ago/85;1837
set/85;1812
out/85;1815
nov/85;1911
dez/85;1963
jan/86;1933
fev/86;1721
mar/86;1687
abr/86;1741
mai/86;1828
jun/86;1856
jul/86;1895
ago/86;1891
set/86;1918
out/86;1907
nov/86;1896
dez/86;1928
jan/87;2039
fev/87;1977
mar/87;2073
abr/87;2043
mai/87;1995
jun/87;2002
jul/87;1977
ago/87;1999
set/87;1994
out/87;1997
nov/87;2033
dez/87;2080
jan/88;2138
fev/88;2181
mar/88;2220
abr/88;2244
mai/88;2141
jun/88;2143
jul/88;2112
ago/88;2113
set/88;2141
out/88;2105
nov/88;2043
dez/88;2132
jan/89;2235
fev/89;2199
mar/89;2183
abr/89;2272
mai/89;2278
jun/89;2295
jul/89;2300
ago/89;2346
set/89;2343
out/89;2299
nov/89;2301
dez/89;2308
jan/90;2448
fev/90;2329
mar/90;2389
abr/90;2279
mai/90;2229
jun/90;2344
jul/90;2332
ago/90;2416
set/90;2373
out/90;2360
nov/90;2366
dez/90;2242
jan/91;2381
fev/91;2462
mar/91;2409
abr/91;2564
mai/91;2512
jun/91;2535
jul/91;2501
ago/91;2519
set/91;2524
out/91;2496
nov/91;2499
dez/91;2456
jan/92;2573
fev/92;2682
mar/92;2698
abr/92;2585
mai/92;2504
jun/92;2522
jul/92;2548
ago/92;2555
set/92;2499
out/92;2510
nov/92;2480
dez/92;2541
jan/93;2666
fev/93;2718
mar/93;2762
abr/93;2917
mai/93;2742
jun/93;2727
jul/93;2705
ago/93;2711
set/93;2704
out/93;2691
nov/93;2737
dez/93;2672
jan/94;2822
fev/94;2875
mar/94;2832
abr/94;2945
mai/94;2792
jun/94;2896
jul/94;2798
ago/94;2766
set/94;2951
out/94;2938
nov/94;2890
dez/94;2937
jan/95;3115
fev/95;3073
mar/95;3221
abr/95;3164
mai/95;3106
jun/95;3130
jul/95;3032
ago/95;3008
set/95;3150
out/95;3037
nov/95;3179
dez/95;3140
jan/96;3240
fev/96;3294
mar/96;3295
abr/96;3365
mai/96;3214
jun/96;3202
jul/96;3303
ago/96;3278
set/96;3266
out/96;3234
nov/96;3313
dez/96;3340
jan/97;3515
fev/97;3553
mar/97;3455
abr/97;3586
mai/97;3485
jun/97;3411
jul/97;3519
ago/97;3520
set/97;3545
out/97;3542
nov/97;3507
dez/97;3442
jan/98;3621
fev/98;3596
mar/98;3659
abr/98;3747
mai/98;3630
jun/98;3575
jul/98;3604
ago/98;3671
set/98;3659
