time;target
jan/79;5623
fev/79;5551
mar/79;5725
abr/79;5797
mai/79;6002
jun/79;5988
jul/79;6054
ago/79;6022
set/79;6353
out/79;6144
nov/79;6393
dez/79;6337
jan/80;6276
fev/80;6239
mar/80;6266
abr/80;6393
mai/80;6458
jun/80;6559
jul/80;6467
ago/80;6879
set/80;6817
out/80;6800
nov/80;7145
dez/80;6636
jan/81;7150
fev/81;6563
mar/81;6878
abr/81;6527
mai/81;6751
jun/81;6464
jul/81;6584
ago/81;6813
set/81;6561
out/81;6599
nov/81;6754
dez/81;6452
jan/82;6702
fev/82;6354
mar/82;6570
abr/82;7255
mai/82;6829
jun/82;6998
jul/82;7080
ago/82;7275
set/82;7381
out/82;7189
nov/82;7285
dez/82;7046
jan/83;7151
fev/83;6860
mar/83;6902
abr/83;7659
mai/83;7157
jun/83;7804
jul/83;7373
ago/83;7400
set/83;7937
out/83;7694
nov/83;7620
dez/83;7547
jan/84;7704
fev/84;8008
mar/84;8198
abr/84;7815
mai/84;8125
jun/84;8342
jul/84;8231
ago/84;8550
set/84;8790
out/84;8307
nov/84;9096
dez/84;8463
jan/85;8598
fev/85;8665
mar/85;8690
abr/85;9170
mai/85;8807
jun/85;9039
jul/85;8510
ago/85;9359
set/85;9368
out/85;9098
nov/85;9472
dez/85;9080
jan/86;9130
fev/86;9104
mar/86;8522
abr/86;9014
mai/86;9674
jun/86;9406
jul/86;9324
ago/86;9912
set/86;9658
out/86;9716
nov/86;10145
dez/86;9251
jan/87;9992
fev/87;9074
mar/87;9502
abr/87;9227
mai/87;9734
jun/87;9219
jul/87;9469
ago/87;10006
set/87;9753
out/87;9785
nov/87;10067
dez/87;9589
jan/88;10152
fev/88;9761
mar/88;9704
abr/88;10320
mai/88;9462
jun/88;9791
jul/88;9989
ago/88;9882
set/88;10627
out/88;10388
nov/88;9963
dez/88;9994
jan/89;9959
fev/89;10238
mar/89;9383
abr/89;10604
mai/89;9860
jun/89;10300
jul/89;10533
ago/89;10365
set/89;11250
out/89;10540
nov/89;10826
dez/89;10268
jan/90;10458
fev/90;10754
mar/90;10165
abr/90;10492
mai/90;9267
jun/90;10046
jul/90;9719
ago/90;10303
set/90;11063
out/90;10377
nov/90;11052
dez/90;10204
jan/91;9981
fev/91;10236
mar/91;9515
abr/91;10133
mai/91;10555
jun/91;10763
jul/91;10246
ago/91;11126
set/91;11206
out/91;10855
nov/91;11231
dez/91;10628
jan/92;10590
fev/92;10610
mar/92;10543
abr/92;10259
mai/92;10771
jun/92;10425
jul/92;10592
ago/92;11027
set/92;10782
out/92;10744
nov/92;11085
dez/92;10403
jan/93;10803
fev/93;10371
mar/93;10427
abr/93;11516
mai/93;10881
jun/93;10949
jul/93;10874
ago/93;11267
set/93;11443
out/93;11170
nov/93;11367
dez/93;10898
jan/94;10895
fev/94;10773
mar/94;10595
abr/94;11432
mai/94;10712
jun/94;11242
jul/94;10737
ago/94;11028
set/94;11842
out/94;11695
nov/94;11626
dez/94;11552
jan/95;11876
fev/95;11914
mar/95;11659
abr/95;12243
mai/95;11660
jun/95;11737
jul/95;11792
ago/95;11777
set/95;12575
out/95;11981
nov/95;12525
dez/95;11987
jan/96;11898
fev/96;12372
mar/96;12184
abr/96;12618
mai/96;12461
jun/96;12617
jul/96;12059
ago/96;13114
set/96;12989
out/96;12927
nov/96;13050
dez/96;12798
jan/97;13149
fev/97;13216
mar/97;12768
abr/97;13040
mai/97;13395
jun/97;13096
jul/97;13093
ago/97;13654
set/97;13656
out/97;13869
nov/97;14231
dez/97;13513
jan/98;14099
fev/98;13559
mar/98;13347
abr/98;14114
mai/98;13849
jun/98;13229
jul/98;13446
ago/98;14101
set/98;14224
out/98;14133
nov/98;13961
dez/98;13509
jan/99;13689
fev/99;13409
mar/99;13636
abr/99;14678
mai/99;13711
jun/99;13902
jul/99;13787
ago/99;14129
set/99;14362
out/99;14218
nov/99;14398
dez/99;14117
jan/00;14299
fev/00;14282
mar/00;14705
abr/00;14694
mai/00;14513
jun/00;14521
jul/00;14421
ago/00;14465
set/00;14669
out/00;14947
nov/00;15347
dez/00;14653
jan/01;14729
fev/01;15373
mar/01;15005
abr/01;15628
mai/01;15007
jun/01;13361
jul/01;10983
ago/01;11216
set/01;11721
out/01;11680
nov/01;11943
dez/01;11840
jan/02;12158
fev/02;12416
mar/02;12803
abr/02;13661
mai/02;13701
jun/02;13363
jul/02;12836
ago/02;13326
set/02;13366
out/02;13574
nov/02;13994
dez/02;13638
jan/03;13540
fev/03;13461
mar/03;13659
abr/03;13279
mai/03;13387
jun/03;13100
jul/03;12993
ago/03;13259
set/03;13115
out/03;13829
nov/03;13862
dez/03;14042
jan/04;13505
fev/04;13229
mar/04;13356
abr/04;13796
mai/04;14085
jun/04;14081
jul/04;14213
ago/04;14320
set/04;14723
out/04;14981
nov/04;14834
dez/04;14772
jan/05;15040
fev/05;14528
mar/05;14852
abr/05;15550
mai/05;14987
jun/05;15164
jul/05;14815
ago/05;14904
set/05;15285
out/05;15245
nov/05;15468
dez/05;15242
jan/06;17289
fev/06;16809
mar/06;17006
abr/06;16122
mai/06;16260
jun/06;15473
jul/06;15209
ago/06;15789
set/06;15860
out/06;15890
nov/06;16723
dez/06;16690
jan/07;16528
fev/07;16512
mar/07;17593
abr/07;17664
mai/07;17337
jun/07;16896
jul/07;16622
ago/07;17013
set/07;17586
out/07;17489
nov/07;17983
dez/07;17622
jan/08;17552
fev/08;17445
mar/08;17566
abr/08;17576
mai/08;17862
jun/08;17415
jul/08;17747
ago/08;18282
set/08;18157
out/08;18526
nov/08;18439
dez/08;16842
jan/09;16346
fev/09;16418
mar/09;17161
abr/09;17282
mai/09;16781
jun/09;16620
jul/09;16936
ago/09;17469
set/09;17796
out/09;18111
